AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz Sensor 13 Id	Sensor 13 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 14 Id	Sensor 14 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 15 Id	Sensor 15 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 16 Id	Sensor 16 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0389	0	857	0	55	62.145004	35.701744	-122.509510	0.993377	0.037132	-0.004060	0.108657	2	55	-68.207481	17.119717	-0.919212	0.268352	-0.817208	0.510058	0.000000	3	55	-70.840630	-9.026806	-1.178215	0.639433	-0.096633	-0.762750	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0488	1	1077	0	55	62.145622	35.695694	-122.513440	0.993382	0.037063	-0.004053	0.108641	2	55	-68.209206	17.099838	-0.932236	0.268257	-0.817061	0.510342	0.000000	3	55	-70.843315	-9.024212	-1.179230	0.639444	-0.096603	-0.762744	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0588	2	1297	0	55	62.149517	35.695934	-122.508960	0.993378	0.037120	-0.004064	0.108654	2	55	-68.216347	17.099697	-0.948914	0.268202	-0.817027	0.510426	0.000000	3	55	-70.843658	-9.024486	-1.171509	0.639432	-0.096630	-0.762751	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0688	3	1518	0	55	62.151154	35.703968	-122.508360	0.993372	0.037187	-0.004067	0.108682	2	55	-68.228439	17.063885	-0.959755	0.267894	-0.816827	0.510907	0.000000	3	55	-70.846443	-9.028375	-1.172943	0.639433	-0.096650	-0.762747	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.0788	4	1738	0	55	62.153854	35.708824	-122.509360	0.993368	0.037248	-0.004078	0.108705	2	55	-68.240158	17.056347	-0.963638	0.267797	-0.816739	0.511099	0.000000	3	55	-70.853279	-9.034240	-1.173958	0.639451	-0.096633	-0.762735	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.0888	5	1958	0	55	62.158245	35.707596	-122.512500	0.993375	0.037173	-0.004104	0.108668	2	55	-68.255409	17.057243	-0.966156	0.267835	-0.816952	0.510738	0.000000	3	55	-70.862206	-9.038022	-1.174934	0.639493	-0.096570	-0.762708	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	55								12	311								13	311								14	311								15	311							
0.0988	6	2179	0	55	62.159077	35.701393	-122.510280	0.993378	0.037159	-0.004114	0.108641	2	55	-68.267738	17.030952	-0.971764	0.267639	-0.816869	0.510973	0.000000	3	55	-70.853844	-9.028395	-1.175987	0.639476	-0.096561	-0.762723	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1088	7	2399	0	55	62.153175	35.693794	-122.506610	0.993382	0.037142	-0.004103	0.108614	2	55	-68.272202	17.011539	-0.977570	0.267456	-0.816804	0.511173	0.000000	3	55	-70.844826	-9.032021	-1.175140	0.639461	-0.096529	-0.762740	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1188	8	2620	0	55	62.147888	35.697815	-122.504020	0.993375	0.037219	-0.004074	0.108645	2	55	-68.265610	16.999199	-0.989601	0.267330	-0.816618	0.511536	0.000000	3	55	-70.838310	-9.033544	-1.181938	0.639433	-0.096557	-0.762760	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1288	9	2840	0	55	62.143967	35.697002	-122.504210	0.993375	0.037260	-0.004048	0.108639	2	55	-68.255150	17.005468	-0.991814	0.267353	-0.816562	0.511615	0.000000	3	55	-70.836502	-9.035101	-1.183113	0.639420	-0.096531	-0.762774	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1388	10	3060	0	55	62.149509	35.700920	-122.502880	0.993370	0.037331	-0.004055	0.108652	2	55	-68.252464	17.020092	-0.996185	0.267410	-0.816553	0.511599	0.000000	3	55	-70.841270	-9.034098	-1.174767	0.639414	-0.096507	-0.762782	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1488	11	3281	0	55	62.149883	35.705414	-122.500720	0.993369	0.037344	-0.004068	0.108661	2	55	-68.258011	17.037838	-0.974319	0.267490	-0.816809	0.511148	0.000000	3	55	-70.843391	-9.038420	-1.169075	0.639422	-0.096515	-0.762774	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1588	12	3501	0	55	62.147614	35.711903	-122.499560	0.993365	0.037408	-0.004052	0.108677	2	55	-68.261818	17.042301	-0.960388	0.267455	-0.816901	0.511020	0.000000	3	55	-70.841354	-9.032558	-1.180153	0.639413	-0.096523	-0.762781	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1688	13	3721	0	55	62.152447	35.711342	-122.496780	0.993367	0.037385	-0.004071	0.108668	2	55	-68.267761	17.046480	-0.954430	0.267488	-0.817074	0.510726	0.000000	3	55	-70.838760	-9.031258	-1.179016	0.639401	-0.096518	-0.762791	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1787	14	3941	0	55	62.147476	35.709599	-122.495830	0.993368	0.037358	-0.004056	0.108667	2	55	-68.266083	17.032120	-0.965897	0.267389	-0.817046	0.510822	0.000000	3	55	-70.830498	-9.027480	-1.179108	0.639380	-0.096540	-0.762806	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1888	15	4162	0	55	62.143646	35.710266	-122.493580	0.993364	0.037397	-0.004032	0.108693	2	55	-68.251976	17.013723	-0.973709	0.267278	-0.816790	0.511289	0.000000	3	55	-70.827522	-9.025326	-1.178558	0.639361	-0.096557	-0.762820	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.1987	16	4382	0	55	62.144985	35.714981	-122.494090	0.993366	0.037349	-0.004051	0.108689	2	55	-68.261002	16.998127	-0.978401	0.267219	-0.816857	0.511213	0.000000	3	55	-70.842293	-9.037493	-1.184471	0.639420	-0.096531	-0.762774	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2087	17	4602	0	55	62.145206	35.713085	-122.498630	0.993366	0.037304	-0.004030	0.108699	2	55	-68.272865	16.994942	-0.982895	0.267186	-0.816960	0.511065	0.000000	3	55	-70.842171	-9.032667	-1.178703	0.639405	-0.096581	-0.762780	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2187	18	4822	0	55	62.152340	35.708721	-122.502540	0.993373	0.037223	-0.004057	0.108669	2	55	-68.286919	17.015427	-0.973526	0.267336	-0.817274	0.510484	0.000000	3	55	-70.851524	-9.028573	-1.175316	0.639427	-0.096557	-0.762764	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2287	19	5043	0	55	62.156940	35.714565	-122.506310	0.993370	0.037237	-0.004084	0.108682	2	55	-68.303764	17.029495	-0.961182	0.267398	-0.817497	0.510095	0.000000	3	55	-70.859238	-9.030829	-1.174591	0.639451	-0.096575	-0.762742	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2387	20	5263	0	55	62.150158	35.710060	-122.506930	0.993374	0.037195	-0.004071	0.108667	2	55	-68.302063	17.036064	-0.955330	0.267483	-0.817566	0.509939	0.000000	3	55	-70.852570	-9.025104	-1.182243	0.639458	-0.096566	-0.762737	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2487	21	5483	0	55	62.152042	35.704350	-122.508400	0.993378	0.037153	-0.004078	0.108644	2	55	-68.294617	17.041811	-0.961967	0.267570	-0.817530	0.509952	0.000000	3	55	-70.853951	-9.024631	-1.182457	0.639469	-0.096540	-0.762731	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2587	22	5704	0	55	62.152542	35.695404	-122.510740	0.993385	0.037043	-0.004093	0.108615	2	55	-68.289627	17.035103	-0.962875	0.267597	-0.817546	0.509912	0.000000	3	55	-70.858780	-9.026503	-1.177734	0.639503	-0.096510	-0.762707	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2687	23	5924	0	55	62.148148	35.688656	-122.506470	0.993390	0.036995	-0.004089	0.108583	2	55	-68.278419	17.037735	-0.972115	0.267675	-0.817507	0.509933	0.000000	3	55	-70.851654	-9.021092	-1.186684	0.639498	-0.096485	-0.762714	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2787	24	6145	0	55	62.151394	35.683121	-122.504730	0.993395	0.036935	-0.004098	0.108558	2	55	-68.283890	17.037193	-0.975967	0.267698	-0.817569	0.509822	0.000000	3	55	-70.857185	-9.019108	-1.195610	0.639523	-0.096451	-0.762698	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2887	25	6365	0	55	62.153950	35.687283	-122.503510	0.993389	0.037023	-0.004093	0.108584	2	55	-68.278252	17.069798	-0.961937	0.267857	-0.817635	0.509633	0.000000	3	55	-70.869049	-9.019628	-1.200913	0.639553	-0.096456	-0.762672	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.2986	26	6585	0	55	62.151150	35.685772	-122.497700	0.993387	0.037059	-0.004079	0.108592	2	55	-68.273697	17.075150	-0.965240	0.267884	-0.817552	0.509752	0.000000	3	55	-70.864326	-9.020214	-1.203880	0.639536	-0.096450	-0.762687	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.3087	27	6806	0	55	62.152195	35.695873	-122.498860	0.993380	0.037180	-0.004079	0.108614	2	55	-68.256104	17.064201	-0.966034	0.267805	-0.817234	0.510303	0.000000	3	55	-70.866302	-9.024396	-1.194305	0.639527	-0.096441	-0.762695	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.3186	28	7026	0	55	62.151817	35.689682	-122.491460	0.993377	0.037208	-0.004076	0.108629	2	55	-68.247749	17.069916	-0.972763	0.267794	-0.817155	0.510435	0.000000	3	55	-70.859192	-9.020724	-1.197937	0.639510	-0.096468	-0.762706	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.3286	29	7246	0	55	62.146496	35.685738	-122.490360	0.993378	0.037189	-0.004048	0.108632	2	55	-68.237823	17.052155	-0.989639	0.267713	-0.816873	0.510929	0.000000	3	55	-70.847427	-9.017125	-1.195496	0.639470	-0.096502	-0.762736	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.3386	30	7466	0	55	62.150745	35.687237	-122.491690	0.993379	0.037163	-0.004058	0.108634	2	55	-68.225266	17.045429	-0.988235	0.267718	-0.816702	0.511199	0.000000	3	55	-70.848206	-9.020758	-1.192520	0.639466	-0.096531	-0.762735	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
