Time[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0431	7	951	0	63	89.124893	23.998077	-129.695630	0.978767	0.051451	-0.034374	-0.195413	2	63	-99.557045	-19.611794	14.221542	0.754114	0.404251	-0.517585	0.000000	3	63	-83.147858	-51.520477	15.861870	0.661546	0.307710	-0.683865	0.000000	4	63	-86.125839	-50.075432	3.853592	0.773418	0.211036	-0.597736	0.000000	5	63								6	63								7	63							
0.0531	8	1171	0	63	89.127373	23.958769	-129.655960	0.978747	0.051658	-0.034416	-0.195451	2	63	-99.554871	-19.598169	14.195381	0.754175	0.404193	-0.517540	0.000000	3	63	-83.143944	-51.518829	15.845390	0.661615	0.307713	-0.683797	0.000000	4	63	-86.114769	-50.076267	3.837784	0.773442	0.210968	-0.597729	0.000000	5	63								6	63								7	63							
0.0631	9	1392	0	63	89.001732	23.774548	-129.554760	0.978660	0.052263	-0.034573	-0.195698	2	63	-99.472137	-19.455030	14.123268	0.754437	0.404138	-0.517202	0.000000	3	63	-83.057259	-51.370903	15.790512	0.661874	0.308007	-0.683414	0.000000	4	63	-86.021683	-49.943535	3.782822	0.773610	0.211014	-0.597495	0.000000	5	63								6	63								7	63							
0.0731	10	1612	0	63	89.050217	23.755249	-129.561950	0.978605	0.052767	-0.034655	-0.195825	2	63	-99.475365	-19.493509	14.172867	0.754624	0.403982	-0.517051	0.000000	3	63	-82.884216	-51.433647	15.808449	0.661826	0.307089	-0.683873	0.000000	4	63	-86.036514	-49.995163	3.824158	0.773730	0.210908	-0.597378	0.000000	5	63								6	63								7	63							
0.0831	11	1832	0	63	89.087273	23.704927	-129.531250	0.978557	0.052967	-0.034790	-0.195987	2	63	-99.246536	-19.565052	14.145027	0.754793	0.403110	-0.517485	0.000000	3	63	-82.879700	-51.446777	15.876511	0.662054	0.307160	-0.683620	0.000000	4	63	-86.040176	-50.017128	3.830368	0.773833	0.210880	-0.597253	0.000000	5	63								6	63								7	63							
0.0931	12	2052	0	63	89.107773	23.631302	-129.548160	0.978563	0.052840	-0.034680	-0.196009	2	63	-99.235512	-19.499527	14.118858	0.754708	0.402877	-0.517789	0.000000	3	63	-82.848717	-51.410049	15.838272	0.661853	0.307003	-0.683885	0.000000	4	63	-86.052841	-49.972160	3.802261	0.773752	0.210794	-0.597390	0.000000	5	63								6	63								7	63							
0.1031	13	2273	0	63	89.527069	23.375559	-129.805310	0.978423	0.050798	-0.034765	-0.197231	2	63	-99.583206	-19.653063	14.317886	0.754091	0.404602	-0.517344	0.000000	3	63	-83.128639	-51.550030	15.970016	0.661523	0.307862	-0.683819	0.000000	4	63	-86.128548	-50.054405	3.880386	0.773481	0.211243	-0.597582	0.000000	5	63								6	63								7	63							
0.1131	14	2493	0	63	89.515968	23.339796	-129.795880	0.978464	0.051110	-0.034306	-0.197028	2	63	-99.518822	-19.608095	14.264969	0.753920	0.404121	-0.517968	0.000000	3	63	-83.134567	-51.464054	15.864143	0.661267	0.307409	-0.684270	0.000000	4	63	-86.125412	-50.059116	3.734940	0.773275	0.210901	-0.597968	0.000000	5	63								6	63								7	63							
0.1230	15	2713	0	63	89.497734	23.291040	-129.730450	0.978330	0.051033	-0.034238	-0.197721	2	63	-99.473717	-19.668396	14.095474	0.753915	0.404660	-0.517554	0.000000	3	63	-83.053795	-51.522690	15.778572	0.661306	0.308058	-0.683941	0.000000	4	63	-86.030029	-50.158535	3.631424	0.773307	0.211350	-0.597769	0.000000	5	63								6	63								7	63							
0.1331	16	2934	0	63	89.646774	23.209545	-129.865110	0.978312	0.050795	-0.034637	-0.197801	2	63	-99.555389	-19.640528	14.296883	0.754110	0.404248	-0.517592	0.000000	3	63	-83.160461	-51.494701	15.859436	0.661513	0.307712	-0.683897	0.000000	4	63	-86.145996	-50.113895	3.837723	0.773507	0.211083	-0.597604	0.000000	5	63								6	63								7	63							
