Time[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0155	2	341	0	63	70.621552	39.232208	-119.915760	0.984295	0.051135	-0.006407	-0.168843	2	63	-87.573639	-51.090706	-6.158791	0.252546	0.510618	0.821882	0.000000	3	63	-103.144440	-29.394356	15.239578	0.694240	-0.210217	-0.688361	0.000000	4	63	-69.502106	-63.790253	15.921288	0.719401	-0.110317	0.685779	0.000000	5	63	-83.514282	-50.264572	15.153694	0.824053	-0.521782	0.220636	0.000000	6	63	-110.601940	-21.617586	15.525826	0.734426	-0.394758	-0.552073	0.000000	7	63	-83.043610	-8.808048	9.469032	0.641151	-0.684712	-0.346547	0.000000
0.0254	3	561	0	63	70.663849	39.412140	-119.547040	0.984138	0.052612	-0.005839	-0.169323	2	63	-87.527496	-51.163219	-6.211060	0.252894	0.509936	0.822198	0.000000	3	63	-103.122370	-29.452845	15.171669	0.694188	-0.209777	-0.688547	0.000000	4	63	-70.400154	-63.977310	15.707291	0.714599	-0.123069	0.688623	0.000000	5	63	-83.596985	-50.203983	15.069221	0.827072	-0.503274	0.250333	0.000000	6	63	-110.789310	-21.949175	15.596550	0.735704	-0.383135	-0.558522	0.000000	7	63	-83.023445	-8.848793	9.422882	0.641235	-0.684679	-0.346457	0.000000
0.0354	4	781	0	63	70.760788	39.644787	-119.214700	0.983948	0.054952	-0.005417	-0.169694	2	63	-87.585213	-51.261547	-6.123192	0.253268	0.512052	0.820767	0.000000	3	63	-103.172740	-29.490946	15.237709	0.694080	-0.209429	-0.688762	0.000000	4	63	-71.342003	-64.065292	15.509750	0.709139	-0.123180	0.694225	0.000000	5	63	-83.586929	-50.136204	14.942009	0.831008	-0.481746	0.278114	0.000000	6	63	-111.224120	-22.357183	15.779648	0.737579	-0.368460	-0.565875	0.000000	7	63	-83.066956	-8.863625	9.455551	0.641097	-0.684892	-0.346290	0.000000
0.0454	5	1001	0	63	70.745560	39.813488	-118.835520	0.983811	0.056411	-0.004773	-0.170035	2	63	-87.584747	-51.225010	-6.223946	0.253116	0.511705	0.821030	0.000000	3	63	-103.178360	-29.465090	15.178635	0.694238	-0.208672	-0.688832	0.000000	4	63	-72.060654	-64.146599	15.192177	0.703325	-0.112789	0.701864	0.000000	5	63	-83.712585	-49.911091	14.823639	0.835244	-0.456911	0.305942	0.000000	6	63	-111.529430	-22.679062	15.949020	0.739633	-0.354214	-0.572255	0.000000	7	63	-83.048904	-8.844532	9.395561	0.641532	-0.684560	-0.346142	0.000000
0.0554	6	1222	0	63	70.797653	40.032085	-118.534140	0.983676	0.057469	-0.004175	-0.170476	2	63	-87.600883	-51.211529	-6.186882	0.252736	0.510188	0.822091	0.000000	3	63	-103.185260	-29.505186	15.206535	0.694496	-0.208247	-0.688701	0.000000	4	63	-72.845879	-64.372055	15.012642	0.696438	-0.099216	0.710725	0.000000	5	63	-83.833260	-49.952751	14.729332	0.838456	-0.434935	0.328365	0.000000	6	63	-111.806780	-23.105093	16.182579	0.741475	-0.342439	-0.577018	0.000000	7	63	-83.062790	-8.829105	9.470489	0.642593	-0.683761	-0.345753	0.000000
0.0654	7	1442	0	63	70.770988	40.250595	-118.159840	0.983509	0.059159	-0.003547	-0.170871	2	63	-87.483704	-51.147572	-6.281082	0.252939	0.508986	0.822773	0.000000	3	63	-103.194560	-29.541515	15.145798	0.694663	-0.207565	-0.688738	0.000000	4	63	-73.405579	-64.603882	14.828224	0.690437	-0.087555	0.718075	0.000000	5	63	-83.888016	-49.994812	14.623360	0.840191	-0.416789	0.346939	0.000000	6	63	-111.978420	-23.365541	16.322105	0.743041	-0.334152	-0.579856	0.000000	7	63	-82.983337	-8.851551	9.474373	0.642908	-0.683344	-0.345991	0.000000
0.0754	8	1662	0	63	70.747803	40.515373	-117.849500	0.983407	0.060760	-0.002850	-0.170915	2	63	-87.537766	-51.156315	-6.220962	0.252848	0.510878	0.821628	0.000000	3	63	-103.186450	-29.437170	15.131378	0.694731	-0.207985	-0.688542	0.000000	4	63	-73.889008	-64.898979	14.795876	0.686184	-0.076691	0.723374	0.000000	5	63	-83.945831	-50.106434	14.545456	0.840944	-0.402355	0.361834	0.000000	6	63	-112.122580	-23.576328	16.505302	0.744325	-0.328384	-0.581501	0.000000	7	63	-82.959747	-8.826717	9.510490	0.643534	-0.682888	-0.345727	0.000000
0.0854	9	1882	0	63	70.757172	40.807362	-117.616780	0.983332	0.062191	-0.002289	-0.170836	2	63	-87.622528	-51.137074	-6.124245	0.252590	0.511790	0.821139	0.000000	3	63	-103.210270	-29.385904	15.228508	0.694912	-0.208268	-0.688275	0.000000	4	63	-74.313950	-65.220993	14.794174	0.682556	-0.066316	0.727818	0.000000	5	63	-83.983452	-50.180096	14.540291	0.841137	-0.390787	0.373863	0.000000	6	63	-112.281750	-23.719835	16.749268	0.745439	-0.324743	-0.582119	0.000000	7	63	-83.054131	-8.846264	9.624954	0.644284	-0.682272	-0.345547	0.000000
0.0954	10	2103	0	63	70.699013	41.141853	-117.381400	0.983261	0.063511	-0.001507	-0.170768	2	63	-87.593819	-51.138493	-6.079033	0.252602	0.511294	0.821444	0.000000	3	63	-103.197620	-29.466173	15.273361	0.694938	-0.207842	-0.688377	0.000000	4	63	-74.539101	-65.459610	14.779480	0.679009	-0.055618	0.732020	0.000000	5	63	-83.841492	-50.316525	14.526970	0.840438	-0.382322	0.384049	0.000000	6	63	-112.346160	-23.853605	16.921112	0.746133	-0.322353	-0.582559	0.000000	7	63	-83.026276	-8.867779	9.676537	0.644876	-0.681828	-0.345318	0.000000
0.1054	11	2323	0	63	70.624771	41.451199	-117.152240	0.983196	0.064658	-0.000828	-0.170714	2	63	-87.586441	-51.128376	-6.029953	0.252444	0.511095	0.821617	0.000000	3	63	-103.141310	-29.511383	15.349365	0.694885	-0.207463	-0.688545	0.000000	4	63	-74.581642	-65.600006	14.723450	0.675974	-0.043657	0.735631	0.000000	5	63	-83.668922	-50.401337	14.502197	0.838742	-0.379042	0.390947	0.000000	6	63	-112.336210	-23.992559	17.138062	0.746414	-0.320615	-0.583157	0.000000	7	63	-83.024567	-8.911034	9.738586	0.645326	-0.681202	-0.345714	0.000000
