Time[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.0155	2	341	0	63	    71	39.2322	-119.9158	0.9843	0.0511	-0.0064	-0.1688	2	63	-28.2324	1.0155	22.9897	0.9591	-0.2689	-0.0773	-0.0427	3	63	-2.9567	-6.5353	1.1907	0.7474	0.6269	0.1953	0.1014	4	63	-48.9375	7.6323	0.5642	0.6424	-0.7532	0.1184	-0.0779	5	63	-30.4711	1.4543	1.3986	0.4992	-0.3148	0.8049	0.0614	6	63	7.3481	-9.6798	0.8803	0.6898	0.5860	0.4071	0.1227	7	63	6.3805	21.2753	1.9170	0.7494	0.2775	0.5914	0.1077
0.0254	3	561	0	63	    71	39.4121	-119.5470	0.9841	0.0526	-0.0058	-0.1693	2	63	-28.3151	1.0324	23.0443	0.9590	-0.2693	-0.0774	-0.0428	3	63	-3.0152	-6.5308	1.2620	0.7475	0.6269	0.1948	0.1014	4	63	-48.6803	6.7938	0.9077	0.6470	-0.7472	0.1319	-0.0755	5	63	-30.3750	1.4224	1.4846	0.4928	-0.3680	0.7867	0.0526	6	63	7.1363	-10.0041	0.8738	0.6896	0.5943	0.3954	0.1223	7	63	6.3375	21.2824	1.9649	0.7493	0.2775	0.5915	0.1077
0.0354	4	781	0	63	    71	39.6448	-119.2147	0.9839	0.0550	-0.0054	-0.1697	2	63	-28.3805	0.9233	22.9768	0.9589	-0.2692	-0.0781	-0.0428	3	63	-3.0293	-6.6029	1.2077	0.7476	0.6269	0.1945	0.1013	4	63	-48.3159	5.9582	1.2284	0.6529	-0.7422	0.1313	-0.0750	5	63	-30.3129	1.4823	1.6004	0.4852	-0.4210	0.7651	0.0434	6	63	6.9644	-10.5986	0.7961	0.6891	0.6045	0.3807	0.1217	7	63	6.3426	21.2322	1.9398	0.7494	0.2772	0.5915	0.1077
0.0454	5	1001	0	63	    71	39.8135	-118.8355	0.9838	0.0564	-0.0048	-0.1700	2	63	-28.3430	0.9566	23.0715	0.9590	-0.2692	-0.0780	-0.0428	3	63	-3.0007	-6.5866	1.2634	0.7475	0.6272	0.1938	0.1013	4	63	-48.0417	5.3417	1.6392	0.6597	-0.7381	0.1194	-0.0759	5	63	-30.0494	1.4915	1.7051	0.4772	-0.4767	0.7375	0.0331	6	63	6.8102	-11.0386	0.7057	0.6883	0.6141	0.3666	0.1212	7	63	6.3544	21.2664	1.9944	0.7491	0.2775	0.5918	0.1078
0.0554	6	1222	0	63	    71	40.0321	-118.5341	0.9837	0.0575	-0.0042	-0.1705	2	63	-28.3256	0.9423	23.0354	0.9590	-0.2691	-0.0773	-0.0427	3	63	-3.0346	-6.6152	1.2417	0.7473	0.6275	0.1935	0.1013	4	63	-47.8721	4.5797	1.9396	0.6676	-0.7331	0.1047	-0.0772	5	63	-30.0260	1.3822	1.8179	0.4713	-0.5227	0.7100	0.0240	6	63	6.5474	-11.5109	0.5613	0.6875	0.6219	0.3550	0.1207	7	63	6.3706	21.2488	1.9204	0.7482	0.2783	0.5926	0.1080
0.0654	7	1442	0	63	    71	40.2506	-118.1598	0.9835	0.0592	-0.0035	-0.1709	2	63	-28.3177	1.0894	23.1061	0.9590	-0.2695	-0.0771	-0.0428	3	63	-3.0594	-6.6296	1.3070	0.7472	0.6278	0.1929	0.1012	4	63	-47.8113	4.0142	2.2179	0.6744	-0.7283	0.0925	-0.0781	5	63	-30.0327	1.3327	1.9341	0.4680	-0.5596	0.6838	0.0162	6	63	6.3879	-11.8009	0.4764	0.6866	0.6275	0.3470	0.1204	7	63	6.3140	21.3081	1.9096	0.7479	0.2788	0.5926	0.1080
0.0754	8	1662	0	63	    71	40.5154	-117.8495	0.9834	0.0608	-0.0029	-0.1709	2	63	-28.3038	1.0280	23.0545	0.9590	-0.2691	-0.0776	-0.0428	3	63	-2.9698	-6.5736	1.3076	0.7471	0.6278	0.1933	0.1013	4	63	-47.8495	3.4626	2.3448	0.6793	-0.7250	0.0815	-0.0790	5	63	-30.1011	1.2449	2.0314	0.4665	-0.5881	0.6606	0.0098	6	63	6.2575	-12.0518	0.3392	0.6857	0.6314	0.3416	0.1202	7	63	6.3233	21.3339	1.8681	0.7474	0.2792	0.5931	0.1081
0.0854	9	1882	0	63	    71	40.8074	-117.6168	0.9833	0.0622	-0.0023	-0.1708	2	63	-28.2529	0.9461	22.9673	0.9591	-0.2687	-0.0777	-0.0427	3	63	-2.9184	-6.5876	1.2086	0.7469	0.6279	0.1936	0.1013	4	63	-47.9401	2.9454	2.4375	0.6836	-0.7220	0.0713	-0.0799	5	63	-30.1489	1.1798	2.0500	0.4661	-0.6101	0.6408	0.0047	6	63	6.1905	-12.2959	0.1357	0.6848	0.6341	0.3383	0.1201	7	63	6.3433	21.2234	1.7693	0.7468	0.2797	0.5936	0.1083
0.0954	10	2103	0	63	    71	41.1419	-117.3814	0.9833	0.0635	-0.0015	-0.1708	2	63	-28.2697	0.9633	22.9194	0.9591	-0.2688	-0.0775	-0.0427	3	63	-2.9978	-6.6196	1.1726	0.7469	0.6281	0.1932	0.1013	4	63	-48.0477	2.6434	2.5085	0.6877	-0.7189	0.0610	-0.0809	5	63	-30.3344	1.2461	2.0623	0.4672	-0.6264	0.6240	0.0006	6	63	6.0925	-12.4404	-0.0094	0.6843	0.6359	0.3362	0.1200	7	63	6.3088	21.2298	1.7177	0.7462	0.2801	0.5941	0.1084
0.1054	11	2323	0	63	    71	41.4512	-117.1522	0.9832	0.0647	-0.0008	-0.1707	2	63	-28.2666	0.9663	22.8689	0.9591	-0.2688	-0.0774	-0.0427	3	63	-3.0677	-6.6027	1.0963	0.7470	0.6281	0.1929	0.1013	4	63	-48.1498	2.5526	2.5859	0.6913	-0.7162	0.0496	-0.0819	5	63	-30.4875	1.3643	2.0758	0.4699	-0.6342	0.6139	-0.0016	6	63	5.9534	-12.5292	-0.2075	0.6842	0.6369	0.3344	0.1200	7	63	6.2664	21.2019	1.6616	0.7459	0.2809	0.5941	0.1085
